Race_and_Ethnicity,Sex,S&E_Fields,Broad_Fields,Detailed_Fields,Year,Number
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2018,3
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Chemical engineering,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Materials science engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Mechanical engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Other engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education administration,2018,4
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2018,4
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teacher education,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teaching fields,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,History,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Business management and administration,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Communication,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,8
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2018,6
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2018,10
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Economics,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Sociology,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,12
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Chemical engineering,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Civil engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Materials science engineering,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Mechanical engineering,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Other engineering,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education administration,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education research,2018,7
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teacher education,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teaching fields,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Other education,2018,3
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,History,2018,
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Letters,2018,2
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,5
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Business management and administration,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Communication,2018,1
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,2
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,17
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,332
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2018,55
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,92
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,23
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,101
"Asian, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,77
"Asian, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,80
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2018,51
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2018,7
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2018,31
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2018,17
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2018,10
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,33
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,16
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,97
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Chemical engineering,2018,41
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2018,23
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,94
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,2
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Materials science engineering,2018,43
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Mechanical engineering,2018,58
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Other engineering,2018,74
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education administration,2018,7
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2018,24
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teacher education,2018,1
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teaching fields,2018,11
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2018,3
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,4
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,History,2018,15
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2018,14
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,42
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Business management and administration,2018,52
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Communication,2018,6
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,10
"Asian, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,27
"Asian, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,446
"Asian, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2018,120
"Asian, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,84
"Asian, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,19
"Asian, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,37
"Asian, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,35
"Asian, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,39
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2018,149
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2018,14
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Economics,2018,36
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2018,22
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Sociology,2018,30
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,73
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,3
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,60
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Chemical engineering,2018,37
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Civil engineering,2018,5
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,31
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,3
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Materials science engineering,2018,28
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Mechanical engineering,2018,18
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Other engineering,2018,45
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education administration,2018,13
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education research,2018,90
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teacher education,2018,4
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teaching fields,2018,40
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Other education,2018,12
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,13
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,History,2018,12
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Letters,2018,49
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,54
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Business management and administration,2018,50
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Communication,2018,26
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,18
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Life sciences,Biological and biomedical sciences,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Psychology and social sciences,Other social sciences,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,
"Asian, Not Hispanic or Latino",Unknown sex,Science and engineering,Engineering,Mechanical engineering,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Non-science and engineering,Education,Education research,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Non-science and engineering,Education,Other education,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Non-science and engineering,Other non-S&E,Communication,2018,
"Asian, Not Hispanic or Latino",Unknown sex,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,24
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,113
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2018,54
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,41
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,9
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,11
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,24
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,14
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2018,56
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2018,3
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2018,13
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2018,20
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2018,25
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,77
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,5
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,13
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Chemical engineering,2018,6
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2018,8
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,15
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Materials science engineering,2018,20
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Mechanical engineering,2018,15
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Other engineering,2018,23
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education administration,2018,62
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2018,69
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teacher education,2018,3
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teaching fields,2018,17
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2018,15
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,5
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,History,2018,16
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2018,14
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,52
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Business management and administration,2018,54
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Communication,2018,7
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,23
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,21
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,193
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2018,182
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,36
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,2
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,4
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,15
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,11
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2018,188
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2018,17
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Economics,2018,8
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2018,8
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Sociology,2018,32
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,77
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,4
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,19
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Chemical engineering,2018,1
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Civil engineering,2018,4
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,6
