Race_and_Ethnicity,Sex,S&E_Fields,Broad_Fields,Detailed_Fields,Year,Number
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Business management and administration,2018,20.0
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Communication,2018,5.0
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,13.0
Hispanic or Latino,Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,30.0
Hispanic or Latino,Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,287.0
Hispanic or Latino,Female,Science and engineering,Life sciences,Health sciences,2018,78.0
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,42.0
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,26.0
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,15.0
Hispanic or Latino,Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,13.0
Hispanic or Latino,Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,10.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Psychology,2018,224.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Anthropology,2018,17.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Economics,2018,4.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Political science and government,2018,14.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Sociology,2018,32.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,78.0
Hispanic or Latino,Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,1.0
Hispanic or Latino,Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,20.0
Hispanic or Latino,Female,Science and engineering,Engineering,Chemical engineering,2018,9.0
Hispanic or Latino,Female,Science and engineering,Engineering,Civil engineering,2018,6.0
Hispanic or Latino,Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,5.0
Hispanic or Latino,Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,3.0
Hispanic or Latino,Female,Science and engineering,Engineering,Materials science engineering,2018,8.0
Hispanic or Latino,Female,Science and engineering,Engineering,Mechanical engineering,2018,4.0
Hispanic or Latino,Female,Science and engineering,Engineering,Other engineering,2018,16.0
Hispanic or Latino,Female,Non-science and engineering,Education,Education administration,2018,46.0
Hispanic or Latino,Female,Non-science and engineering,Education,Education research,2018,109.0
Hispanic or Latino,Female,Non-science and engineering,Education,Teacher education,2018,7.0
Hispanic or Latino,Female,Non-science and engineering,Education,Teaching fields,2018,39.0
Hispanic or Latino,Female,Non-science and engineering,Education,Other education,2018,22.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,59.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,History,2018,32.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Letters,2018,45.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,35.0
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Business management and administration,2018,11.0
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Communication,2018,7.0
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,25.0
Hispanic or Latino,Unknown sex,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2018,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2018,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Chemical engineering,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education administration,2018,4.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2018,4.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teaching fields,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,History,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,8.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2018,6.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2018,10.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Economics,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,12.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Chemical engineering,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Mechanical engineering,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Other engineering,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education administration,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education research,2018,7.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teacher education,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Other education,2018,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Letters,2018,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,5.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Business management and administration,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Communication,2018,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,2.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,17.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,332.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2018,55.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,92.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,23.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,101.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,77.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,80.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2018,51.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2018,7.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2018,31.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2018,17.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2018,10.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,33.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,16.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,97.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Chemical engineering,2018,41.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2018,23.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,94.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,2.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Materials science engineering,2018,43.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Mechanical engineering,2018,58.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Engineering,Other engineering,2018,74.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education administration,2018,7.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2018,24.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teacher education,2018,1.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teaching fields,2018,11.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2018,3.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,4.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,History,2018,15.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2018,14.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,42.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Business management and administration,2018,52.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Communication,2018,6.0
"Asian, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,10.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,27.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,446.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2018,120.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,84.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,19.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,37.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,35.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,39.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2018,149.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2018,14.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Economics,2018,36.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2018,22.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Sociology,2018,30.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,73.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,3.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,60.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Chemical engineering,2018,37.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Civil engineering,2018,5.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,31.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,3.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Materials science engineering,2018,28.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Mechanical engineering,2018,18.0
"Asian, Not Hispanic or Latino",Female,Science and engineering,Engineering,Other engineering,2018,45.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education administration,2018,13.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education research,2018,90.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teacher education,2018,4.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teaching fields,2018,40.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Education,Other education,2018,12.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,13.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,History,2018,12.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Letters,2018,49.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,54.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Business management and administration,2018,50.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Communication,2018,26.0
"Asian, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,18.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,24.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,113.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2018,54.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,41.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,9.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,11.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,24.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,14.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2018,56.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2018,3.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2018,13.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2018,20.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2018,25.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,77.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,5.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,13.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Chemical engineering,2018,6.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2018,8.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,15.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Materials science engineering,2018,20.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Mechanical engineering,2018,15.0
"Black or African American, Not Hispanic or Latino",Male,Science and engineering,Engineering,Other engineering,2018,23.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education administration,2018,62.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2018,69.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teacher education,2018,3.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teaching fields,2018,17.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2018,15.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,5.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,History,2018,16.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2018,14.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,52.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Business management and administration,2018,54.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Communication,2018,7.0
"Black or African American, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,23.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,21.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2018,193.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2018,182.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,36.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,2.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,4.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,15.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,11.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2018,188.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2018,17.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Economics,2018,8.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2018,8.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Sociology,2018,32.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2018,77.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,4.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,19.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Chemical engineering,2018,1.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Civil engineering,2018,4.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,6.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,1.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Materials science engineering,2018,9.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Mechanical engineering,2018,2.0
"Black or African American, Not Hispanic or Latino",Female,Science and engineering,Engineering,Other engineering,2018,16.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education administration,2018,138.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education research,2018,191.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teacher education,2018,18.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teaching fields,2018,45.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Education,Other education,2018,26.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2018,4.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,History,2018,32.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Letters,2018,29.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2018,53.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Business management and administration,2018,55.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Communication,2018,23.0
"Black or African American, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2018,60.0
"White, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2018,306.0
"White, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2018,2105.0
"White, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2018,333.0
"White, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2018,797.0
"White, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2018,309.0
"White, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2018,781.0
"White, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2018,388.0
"White, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2018,577.0
"White, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2018,693.0
"White, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2018,71.0
"White, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2018,253.0
"White, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2018,238.0
"White, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2018,136.0
"White, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2018,441.0
"White, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2018,142.0
"White, Not Hispanic or Latino",Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2018,264.0
"White, Not Hispanic or Latino",Male,Science and engineering,Engineering,Chemical engineering,2018,244.0
"White, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2018,91.0
"White, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2018,291.0
"White, Not Hispanic or Latino",Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2018,35.0
